word,type,phon_br,phon_n_am,definition,example,vietnamese,synonyms,antonyms
copious,adjective,/ˈkəʊpɪəs/,/ˈkoʊpiəs/,"profuse, abundant",Copious amounts of Snapple were imbibed in the cafeteria.,"Dồi dào, phong phú, vô số","abundant, profuse, ample","sparse, meager, scarce"
cordial,adjective,/ˈkɔːdiəl/,/ˈkɔːrdʒəl/,"warm, affectionate",His cordial greeting melted my anger at once.,"Thân ái, nồng nhiệt, chân thành","amicable, affable, genial","hostile, aloof, acrimonious"
coronation,noun,/ˌkɒrəˈneɪʃən/,/ˌkɔːrəˈneɪʃən/,the act of crowning,The new king's coronation occurred the day after his father's death.,"Lễ đăng quang, Lễ lên ngôi, Lễ đội vương miện","enthronement, inauguration, investiture","abdication, dethronement, deposition"
corpulence,adjective,/ˈkɔːpjʊləns/,/ˈkɔːrpjələns/,extreme fatness,"Henry's corpulence did not make him any less attractive to his charming, svelte wife.","Sự béo phì, Sự mập mạp quá mức, Thân hình đồ sộ","obesity, portliness, stoutness","leanness, emaciation, gauntness"
corroborate,verb,/kəˈrɒbəreɪt/,/kəˈrɑːbəreɪt/,to support with evidence,Luke's seemingly outrageous claim was corroborated by witnesses.,"Xác nhận, Chứng thực, Kiểm chứng","substantiate, validate, verify","invalidate, refute, contradict"
corrosive,adjective,/kəˈrəʊsɪv/,/kəˈroʊsɪv/,having the tendency to erode or eat away,The effect of the chemical was highly corrosive.,"Ăn mòn, Gây mòn, Phá hủy","caustic, erosive, deleterious","ameliorative, restorative, soothing"
cosmopolitan,adjective,/ˌkɒzməˈpɒlɪtən/,/ˌkɑːzməˈpɑːlɪtən/,"sophisticated, worldly","Lloyd's education and upbringing were cosmopolitan, so he felt right at home among the powerful and learned.","Quốc tế, Từng trải, Đa văn hóa","sophisticated, urbane, global","provincial, insular, parochial"
counteract,verb,/ˌkaʊntərˈækt/,/ˌkaʊntərˈækt/,"to neutralize, make ineffective",The antidote counteracted the effect of the poison.,"Vô hiệu hóa, Làm mất tác dụng, Trung hòa","neutralize, offset, negate","reinforce, exacerbate, promote"
coup,noun,/kuː/,/ku/,"1. a brilliant, unexpected act 2. the overthrow of a government and assumption of authority",Alexander pulled off an amazing coup when he got a date with Cynthia by purposely getting hit by her car.,"Đảo chính, binh biến, chiêu độc","stratagem, triumph, accomplishment","setback, blunder, failure"
covet,verb,/ˈkʌvɪt/,/ˈkʌvɪt/,to desire enviously,"I coveted Moses's house, wife, and car.","Thèm thuồng, thèm muốn, ham muốn","crave, yearn, envy","renounce, disdain, abjure"
covert,adjective,/ˈkʌvət/,/ˈkoʊvərt/,secretly engaged in,"Nerwin waged a covert campaign against his enemies, while outwardly appearing to remain friendly.","bí mật, ngầm, lén lút","clandestine, surreptitious, furtive","overt, blatant, manifest"
credulity,noun,/krɪˈdjuːləti/,/krɪˈduːləti/,readiness to believe,His credulity made him an easy target for con men.,"Cả tin, Dễ tin, Khờ khạo","gullibility, naiveté, ingenuousness","skepticism, cynicism, distrust"
crescendo,noun,/krəˈʃendəʊ/,/krəˈʃendoʊ/,a steady increase in intensity or volume,The crescendo of the brass instruments gave the piece a patriotic feel.,"Sự tăng dần, Sự dâng cao","culmination, escalation, climax","decrescendo, decline, subsidence"
criteria,noun,/kraɪˈtɪərɪə/,/kraɪˈtɪriə/,standards by which something is judged,Among Mrs. Fields's criteria for good cookies are that they be moist and chewy.,"tiêu chí, chuẩn mực","standards, benchmarks, parameters","anomalies, exceptions, deviations"
culmination,noun,/ˌkʌlmɪˈneɪʃən/,/ˌkʌlməˈneɪʃən/,the climax toward which something progresses,The culmination of the couple's argument was the decision to divorce.,"Đỉnh điểm, Cao trào, Kết cục","apex, peak, zenith","nadir, inception, commencement"
culpable,adjective,/ˈkʌlpəbəl/,/ˈkʌlpəbəl/,deserving blame,"He was culpable of the crime, and was sentenced to perform community service for 75 years.","đáng trách, có tội, có lỗi","reprehensible, blameworthy, censurable","innocent, irreproachable, unimpeachable"
cultivate,verb,/ˈkʌltɪveɪt/,/ˈkʌltəveɪt/,"to nurture, improve, refine","At the library, she cultivated her interest in spy novels.","nuôi dưỡng, phát triển, trau dồi","foster, nurture, develop","neglect, hinder, suppress"
cumulative,adjective,/ˈkjuːmjələtɪv/,/ˈkjuːmjələtɪv/,"increasing, building upon itself",The cumulative effect of hours spent in the sun was a deep tan.,"Tích lũy, Cộng dồn","aggregate, additive, increasing","diminishing, subtractive, decreasing"
cunning,adjective,/ˈkʌnɪŋ/,/ˈkʌnɪŋ/,"sly, clever at being deceitful",The general devised a cunning plan to surprise the enemy.,"Xảo quyệt, Mưu mô, Quỷ quyệt","astute, wily, sagacious","naive, guileless, artless"
cupidity,noun,/kjuːˈpɪdɪti/,/kjuˈpɪdəti/,"greed, strong desire",His cupidity made him enter the abandoned gold mine despite the obvious dangers.,"Lòng tham, hám lợi","avarice, covetousness, rapacity","generosity, benevolence, philanthropy"
cursory,adjective,/ˈkɜːsəri/,/ˈkɜːrsəri/,brief to the point of being superficial,"Late for the meeting, she cast a cursory glance at the agenda.","qua loa, sơ sài, đại khái","superficial, perfunctory, fleeting","meticulous, thorough, exhaustive"
curt,adjective,/kɜːt/,/kɜːrt/,abruptly and rudely short,Her curt reply to my question made me realize that she was upset at me.,"cộc lốc, cụt lủn, ngắn ngủn","terse, abrupt, brusque","verbose, expansive, polite"
curtail,verb,/kɜːˈteɪl/,/kɜːrˈteɪl/,"to lessen, reduce","Since losing his job, he had to curtail his spending.","Cắt giảm, giảm bớt, hạn chế","abridge, truncate, diminish","extend, prolong, augment"
daunting,adjective,/ˈdɔːntɪŋ/,/ˈdɔːntɪŋ/,"intimidating, causing one to lose courage",He kept delaying the daunting act of asking for a promotion.,"Đáng sợ, làm nản lòng, gian nan","intimidating, formidable, dismaying","encouraging, facile, reassuring"
dearth,noun,/dɜːθ/,/dɜːrθ/,"a lack, scarcity","An eager reader, she was dismayed by the dearth of classic books at the library.","sự thiếu hụt, sự khan hiếm, tình trạng thiếu thốn","scarcity, paucity, insufficiency","abundance, profusion, surfeit"
debacle,noun,/dɪˈbɑːkəl/,/dɪˈbɑːkəl/,"a disastrous failure, disruption",The elaborately designed fireworks show turned into a debacle when the fireworks started firing in random directions.,"Thảm họa, Thất bại thảm hại, Sự đổ vỡ","catastrophe, fiasco, collapse","triumph, success, breakthrough"
debase,verb,/dɪˈbeɪs/,/dɪˈbeɪs/,to lower the quality or esteem of something,The large raise that he gave himself debased his motives for running the charity.,"hạ thấp, làm hoen ố, làm mất giá trị","degrade, demean, vitiate","elevate, ennoble, enhance"
debauch,verb,/dɪˈbɔːtʃ/,/dɪˈbɔːtʃ/,to corrupt by means of sensual pleasures,An endless amount of good wine and cheese debauched the traveler.,"Làm hư đốn, làm sa đọa, làm trụy lạc","corrupt, deprave, vitiate","purify, uplift, edify"
debunk,verb,/diːˈbʌŋk/,/diˈbʌŋk/,to expose the falseness of something,He debunked her claim to be the world's greatest chess player by defeating her in 18 consecutive matches.,"Lật tẩy, phơi bày sự thật, bác bỏ","expose, disprove, demystify","validate, substantiate, confirm"
decorous,adjective,/ˈdɛkərəs/,/ˈdɛkərəs/,"socially proper, appropriate",The appreciative guest displayed decorous behavior toward his host.,"Đúng mực, Phải phép, Nhã nhặn","proper, seemly, becoming","indecorous, unseemly, improper"
decry,verb,/dɪˈkraɪ/,/dɪˈkraɪ/,to criticize openly,The kind video rental clerk decried the policy of charging customers late fees.,"lên án, chỉ trích, phê phán","denounce, condemn, censure","laud, extol, praise"
deface,verb,/dɪˈfeɪs/,/dɪˈfeɪs/,to ruin or injure something's appearance,The brothers used eggs and shaving cream to deface their neighbor's mailbox.,"Làm xấu đi, bôi bẩn, phá hoại","vandalize, mar, disfigure","adorn, embellish, beautify"
defamatory,adjective,/dɪˈfæmətəri/,/dɪˈfæmətɔːri/,harmful toward another's reputation,The defamatory gossip spreading about the actor made the public less willing to see the actor's new movie.,"Phỉ báng, bôi nhọ, xúc phạm danh dự","libelous, slanderous, calumnious","laudatory, complimentary, commendatory"
defer,verb,/dɪˈfɜː/,/dɪˈfɜːr/,to postpone something; to yield to another's wisdom,"Ron deferred to Diane, the expert on musical instruments, when he was asked about buying a piano.","Nghe theo, dựa vào, tin tưởng","postpone, delay, suspend","expedite, hasten, advance"
deferential,adjective,/ˌdɛfəˈrɛnʃəl/,/ˌdɛfəˈrɛnʃəl/,showing respect for another's authority,His deferential attitude toward her made her more confident in her ability to run the company.,"Cung kính, Kính cẩn, Tôn kính","respectful, obsequious, reverent","disrespectful, insolent, contemptuous"
defile,verb,/dɪˈfaɪl/,/dɪˈfaɪl/,"to make unclean, impure",She defiled the calm of the religious building by playing her banjo.,"Làm ô uế, làm nhơ bẩn, làm vấy bẩn","desecrate, pollute, contaminate","purify, sanctify, cleanse"
deft,adjective,/dɛft/,/dɛft/,"skillful, capable","Having worked in a bakery for many years, Marcus was a deft bread maker.","Khéo léo, thành thạo, lành nghề","adroit, nimble, dexterous","clumsy, awkward, maladroit"
defunct,adjective,/dɪˈfʌŋkt/,/dɪˈfʌŋkt/,no longer used or existing,They planned to turn the defunct schoolhouse into a community center.,"đã ngừng hoạt động, không còn tồn tại, đã không còn sử dụng","obsolete, extinct, non-existent","existing, operational, thriving"
delegate,verb,/ˈdelɪɡeɪt/,/ˈdeləɡeɪt/,to hand over responsibility for something,The dean delegated the task of finding a new professor to a special hiring committee.,"giao phó, ủy quyền, phân công","assign, entrust, deputize","retain, recall, appropriate"
deleterious,adjective,/ˌdelɪˈtɪəriəs/,/ˌdeləˈtɪriəs/,causing harm or damage,She experienced the deleterious effects of running a marathon without stretching her muscles enough beforehand.,"có hại, tai hại, gây hại","pernicious, noxious, detrimental","beneficial, salubrious, advantageous"
deliberate,adjective,/dɪˈlɪbərət/,/dɪˈlɪbɚrət/,"intentional, reflecting careful consideration","Though Mary was quite upset, her actions to resolve the dispute were deliberate.","Cố ý, Có chủ đích, Có tính toán","intentional, calculated, conscious","accidental, inadvertent, spontaneous"
delineate,verb,/dɪˈlɪnieɪt/,/dɪˈlɪnieɪt/,"to describe, outline, shed light on",She neatly delineated her reasons for canceling the project's funding.,"Trình bày, Mô tả, Nêu rõ","portray, depict, characterize","obscure, confuse, blur"
demagogue,noun,/ˈdeməɡɒɡ/,/ˈdeməɡɑːɡ/,a leader who appeals to a people's prejudices,The demagogue strengthened his hold over his people by blaming immigrants for the lack of jobs.,"Kẻ mị dân, kẻ kích động, kẻ thao túng quần chúng","agitator, rabble-rouser, instigator","unifier, peacemaker, conciliator"
demarcation,noun,/ˌdiːmɑːˈkeɪʃən/,/ˌdimɑːrˈkeɪʃən/,the marking of boundaries or categories,Different cultures have different demarcations of good and evil.,"Sự phân định, ranh giới, sự phân chia","delineation, differentiation, separation","integration, unification, amalgamation"
demean,verb,/dɪˈmiːn/,/dɪˈmin/,to lower the status or stature of something,She refused to demean her secretary by making him order her lunch.,"hạ thấp, làm mất thể diện, sỉ nhục","abase, degrade, debase","exalt, ennoble, dignify"
demure,adjective,/dɪˈmjʊə/,/dɪˈmjʊr/,"quiet, modest, reserved","Though everyone else at the party was dancing and going crazy, she remained demure.","Thùy mị, dịu dàng, kín đáo","modest, reserved, decorous","bold, audacious, brazen"
denigrate,verb,/ˈdɛnɪɡreɪt/,/ˈdɛnɪɡreɪt/,"to belittle, diminish the opinion of",The company decided that its advertisements would no longer denigrate the company's competitors.,"Phỉ báng, bôi nhọ, gièm pha","slander, disparage, vilify","laud, extol, commend"
denounce,verb,/dɪˈnaʊns/,/dɪˈnaʊns/,to criticize publicly,The senator denounced her opponent as a greedy politician.,"Lên án, Tố cáo, Công kích","condemn, censure, castigate","acclaim, commend, eulogize"
deplore,verb,/dɪˈplɔː/,/dɪˈplɔːr/,"to feel or express sorrow, disapproval",We all deplored the miserable working conditions in the factory.,"Lên án, than vãn, phê phán","lament, condemn, decry","commend, laud, extol"
depravity,noun,/dɪˈprævɪti/,/dɪˈprævɪti/,wickedness,Rumors of the ogre's depravity made the children afraid to enter the forest.,"ác độc, đồi bại, sa đọa","turpitude, perversity, profligacy","rectitude, virtue, probity"
deprecate,verb,/ˈdɛprəkeɪt/,/ˈdɛprəkeɪt/,"to belittle, depreciate","Always over-modest, he deprecated his contribution to the local charity.","hạ thấp, coi nhẹ, đánh giá thấp","disparage, denigrate, decry","extol, laud, commend"
derelict,adjective,/ˈdɛrəlɪkt/,/ˈdɛrəlɪkt/,"abandoned, run-down","Even though it was dangerous, the children enjoyed going to the deserted lot and playing in the derelict house.","Đổ nát, Hoang tàn, Bỏ hoang","dilapidated, neglected, abandoned","pristine, meticulous, maintained"
deride,verb,/dɪˈraɪd/,/dɪˈraɪd/,"to laugh at mockingly, scorn",The bullies derided the foreign student's accent.,"cười nhạo, chế nhạo, nhạo báng","mock, disparage, jeer","laud, commend, praise"
derivative,adjective,/dɪˈrɪvətɪv/,/dɪˈrɪvətɪv/,"taken directly from a source, unoriginal",She was bored by his music because she felt that it was derivative and that she had heard it before.,"Bắt chước, rập khuôn, thiếu sáng tạo","unoriginal, imitative, hackneyed","original, innovative, groundbreaking"
desecrate,verb,/ˈdɛsɪkreɪt/,/ˈdɛsɪkreɪt/,to violate the sacredness of a thing or place,They feared that the construction of a golf course would desecrate the preserved wilderness.,"Báng bổ, Làm ô uế, Xúc phạm","profane, defile, debase","consecrate, hallow, sanctify"
desiccated,adjective,/ˈdɛsɪkeɪtɪd/,/ˈdɛsɪkeɪtɪd/,"dried up, dehydrated",The skin of the desiccated mummy looked like old paper.,"Khô queo, khô quắt, mất nước","dehydrated, parched, arid","hydrated, moist, saturated"
desolate,adjective,/ˈdɛsələt/,/ˈdɛsəlɪt/,"deserted, dreary, lifeless",She found the desolate landscape quite a contrast to the hustle and bustle of the overcrowded city.,"Hoang vắng, tiêu điều, hoang vu","bleak, barren, forlorn","bustling, vibrant, populated"
despondent,adjective,/dɪˈspɒndənt/,/dɪˈspɑːndənt/,"feeling depressed, discouraged, hopeless","Having failed the first math test, the despondent child saw no use in studying for the next and failed that one too.","Chán nản, tuyệt vọng, nản lòng","despairing, morose, dejected","hopeful, optimistic, buoyant"
despot,noun,/ˈdes.pɒt/,/ˈdes.pɑːt/,one who has total power and rules brutally,The despot issued a death sentence for anyone who disobeyed his laws.,"Kẻ bạo chúa, bạo quân, kẻ độc tài","tyrant, autocrat, dictator","democrat, egalitarian, liberal"
destitute,adjective,/ˈdes.tɪ.tjuːt/,/ˈdes.tɪ.tuːt/,"impoverished, utterly lacking",The hurricane destroyed many homes and left many families destitute.,"Bần cùng, trắng tay, khốn cùng","impoverished, indigent, penurious","affluent, prosperous, opulent"
deter,verb,/dɪˈtɜː/,/dɪˈtɜːr/,"to discourage, prevent from doing",Bob's description of scary snakes couldn't deter Marcia from traveling in the rainforests.,"ngăn cản, can ngăn, làm nản lòng","dissuade, hinder, impede","encourage, abet, incite"
devious,adjective,/ˈdiː.vi.əs/,/ˈdiː.vi.əs/,"not straightforward, deceitful","Not wanting to be punished, the devious girl blamed the broken vase on the cat.","Xảo quyệt, gian xảo, lươn lẹo","artful, cunning, surreptitious","forthright, candid, straightforward"
dialect,noun,/ˈdaɪ.ə.lekt/,/ˈdaɪ.ə.lekt/,a variation of a language,"In the country's remote, mountainous regions, the inhabitants spoke a dialect that the country's other inhabitants had difficulty understanding.","tiếng địa phương, phương ngữ, thổ ngữ","vernacular, patois, argot","standard, universal, lingua franca"
diaphanous,adjective,/daɪˈæfənəs/,/daɪˈæfənəs/,"light, airy, transparent","Sunlight poured in through the diaphanous curtains, brightening the room.","Mỏng tang, mỏng manh, xuyên thấu","sheer, gossamer, ethereal","opaque, dense, substantial"
didactic,adjective,/daɪˈdæktɪk/,/daɪˈdæktɪk/,1. intended to instruct 2. overly moralistic,She wrote up a didactic document showing new employees how to handle the company's customers.,"mang tính giáo huấn, giáo điều, ra vẻ dạy đời","instructive, pedagogical, edifying","uninstructive, misguiding, misleading"
diffident,adjective,/ˈdɪfɪdənt/,/ˈdɪfɪdənt/,"shy, quiet, modest","While eating dinner with the adults, the diffident youth did not speak for fear of seeming presumptuous.","Rụt rè, ngại ngùng, bẽn lẽn","timid, reticent, demure","confident, bold, audacious"
diffuse,"verb, adjective",/dɪˈfjuːz/,/dɪˈfjuːz/,"1. to scatter, thin out, break up 2. not concentrated, scattered, disorganized",He diffused the tension in the room by making in a joke.,"Giải tỏa, tản mác, mơ hồ","dispersed, scattered, attenuated","concentrated, concise, focused"
dilatory,adjective,/ˈdɪlətəri/,/ˈdɪlətɔːri/,"tending to delay, causing delay",The general's dilatory strategy enabled the enemy to regroup.,"Chậm trễ, trì hoãn, lê thê","tardy, laggard, procrastinating","prompt, expeditious, assiduous"
diligent,adjective,/ˈdɪlɪdʒənt/,/ˈdɪlɪdʒənt/,showing care in doing one's work,The diligent researcher made sure to check her measurements multiple times.,"Kỹ lưỡng, chăm chỉ, cần cù","industrious, assiduous, sedulous","indolent, slothful, remiss"
diminutive,adjective,/dɪˈmɪnjʊtɪv/,/dɪˈmɪnjətɪv/,small or miniature,"The bullies, tall and strong, picked on the diminutive child.","nhỏ bé, bé nhỏ, thấp bé","miniature, minuscule, Lilliputian","colossal, gargantuan, prodigious"
dirge,noun,/dɜːdʒ/,/dɜːrdʒ/,"a mournful song, especially for a funeral",The bagpipers played a dirge as the casket was carried to the cemetery.,"Khúc ai ca, Tang ca","lament, elegy, requiem","anthem, paean, jubilee"
disaffected,adjective,/ˌdɪsəˈfɛktɪd/,/ˌdɪsəˈfɛktɪd/,"rebellious, resentful of authority","Dismayed by Bobby's poor behavior, the parents sent their disaffected son to a military academy to be disciplined.","nổi loạn, bất mãn, chống đối","estranged, alienated, rebellious","loyal, contented, allegiant"
disavow,verb,/ˌdɪsəˈvaʊ/,/ˌdɪsəˈvaʊ/,to deny knowledge of or responsibility for,"Not wanting others to criticize her, she disavowed any involvement in the company's hiring scandal.","Phủ nhận, khước từ, bác bỏ","repudiate, disclaim, recant","avow, acknowledge, espouse"
discern,verb,/dɪˈsɜːn/,/dɪˈsɜrn/,"to perceive, detect","Though he hid his emotions, she discerned from his body language that he was angry.","Nhận ra, nhận thấy, phát hiện","perceive, apprehend, distinguish","overlook, confuse, miss"
disclose,verb,/dɪˈskləʊz/,/dɪˈskloʊz/,"to reveal, make public",The CEO disclosed to the press that the company would have to fire several employees.,"tiết lộ, công bố, công khai","reveal, divulge, unearth","conceal, suppress, withhold"
discomfit,verb,/dɪˈskʌmfɪt/,/dɪˈskʌmfɪt/,"to thwart, baffle",The normally cheery and playful children's sudden misery discomfited the teacher.,"Làm bối rối, làm lúng túng, làm khó xử","abash, disconcert, perturb","compose, reassure, embolden"
discordant,adjective,/dɪˈskɔːdnt/,/dɪˈskɔrdənt/,"not agreeing, not in harmony with",The girls' sobs were a discordant sound amid the general laughter that filled the restaurant.,"Chói tai, lạc điệu, không hài hòa","cacophonous, dissonant, jarring","harmonious, concordant, melodious"
discrepancy,noun,/dɪˈskrepənsi/,/dɪˈskrepənsi/,"difference, failure of things to correspond",He was troubled by the discrepancy between what he remembered paying for the appliance and what his receipt showed he paid for it.,"Sự chênh lệch, Sự không khớp, Sự sai lệch","inconsistency, divergence, disparity","congruence, accord, agreement"
discretion,noun,/dɪˈskrɛʃən/,/dɪˈskrɛʃən/,the quality of being reserved in speech or action; good judgment,"Not wanting her patient to get overly anxious, the doctor used discretion in deciding how much to tell the patient about his condition.","Sự thận trọng, sự cân nhắc, sự khôn ngoan","prudence, circumspection, judiciousness","imprudence, carelessness, recklessness"
discursive,adjective,/dɪˈskɜːsɪv/,/dɪˈskɜːrsɪv/,"rambling, lacking order",The professor's discursive lectures seemed to be about every subject except the one initially described.,"Lan man, tản mạn","rambling, digressive, circuitous","concise, succinct, direct"
disdain,"verb, noun",/dɪsˈdeɪn/,/dɪsˈdeɪn/,"1. to scorn, hold in low esteem 2. scorn, low esteem","Insecure about their jobs, the older employees disdained the recently hired ones, who were young and capable.","khinh thường, coi thường, khinh bỉ","contempt, scorn, condescension","admiration, respect, reverence"
disgruntled,adjective,/dɪsˈɡrʌntld/,/dɪsˈɡrʌntld/,"upset, not content","The child believed that his parents had unjustly grounded him, and remained disgruntled for a week.","Bất mãn, khó chịu, hờn dỗi","discontented, dissatisfied, peevish","contented, pleased, satisfied"
disheartened,adjective,/dɪsˈhɑːtnd/,/dɪsˈhɑːrtnd/,feeling a loss of spirit or morale,The team was disheartened after losing in the finals of the tournament.,"Nản lòng, Chán nản, Mất tinh thần","discouraged, dejected, despondent","encouraged, invigorated, heartened"
disparage,verb,/dɪˈspærɪdʒ/,/dɪˈspærɪdʒ/,to criticize or speak ill of,The saleswoman disparaged the competitor's products to persuade her customers to buy what she was selling.,"Chê bai, hạ thấp, gièm pha","denigrate, deprecate, decry","laud, extol, commend"
disparate,adjective,/ˈdɪspərət/,/ˈdɪspərət/,"sharply differing, containing sharply contrasting elements","Having widely varying interests, the students had disparate responses toward the novel.","khác biệt rõ rệt, đối lập, không tương đồng","divergent, heterogeneous, incongruous","analogous, homogeneous, comparable"
dispatch,verb,/dɪˈspætʃ/,/dɪˈspætʃ/,to send off to accomplish a duty,The carpenter dispatched his assistant to fetch wood.,"Cử đi, Phái đi, Điều đi","expedite, transmit, execute","impede, hinder, delay"
dispel,verb,/dɪˈspel/,/dɪˈspel/,"to drive away, scatter","She entered the office as usual on Monday, dispelling the rumor that she had been fired.","xua tan, làm tan biến, giải tỏa","dissipate, banish, allay","engender, foster, cultivate"
disperse,verb,/dɪˈspɜːs/,/dɪˈspɜːrs/,"to scatter, cause to scatter","When the rain began to pour, the crowd at the baseball game quickly dispersed.","Tản ra, Giải tán, Phân tán","disseminate, scatter, diffuse","congregate, amass, gather"
disrepute,noun,/ˌdɪsrɪˈpjuːt/,/ˌdɪsrɪˈpjuːt/,a state of being held in low regard,The officer fell into disrepute after it was learned that he had disobeyed the orders he had given to his own soldiers.,"Mất uy tín, mang tiếng xấu, bị ô nhục","ignominy, infamy, opprobrium","renown, laudation, prestige"
dissemble,verb,/dɪˈsembəl/,/dɪˈsembəl/,"to conceal, fake","Not wanting to appear heartlessly greedy, she dissembled and hid her intention to sell her ailing father's stamp collection.","Lấp liếm, che giấu, giả bộ","prevaricate, feign, equivocate","disclose, unveil, avow"
disseminate,verb,/dɪˈsemɪneɪt/,/dɪˈseməneɪt/,to spread widely,The politician disseminated his ideas across the town before the election.,"truyền bá, phổ biến, phát tán","propagate, promulgate, diffuse","suppress, withhold, collect"
dissent,"verb, noun",/dɪˈsent/,/dɪˈsent/,1. to disagree 2. the act of disagreeing,"The principal argued that the child should repeat the fourth grade, but the unhappy parents dissented.","phản đối, không đồng ý, bất đồng","demur, discord, schism","accede, acquiescence, concordance"
dissipate,verb,/ˈdɪsɪpeɪt/,/ˈdɪsəpeɪt/,"1. to disappear, cause to disappear 2. to waste",The sun finally came out and dissipated the haze.,"Tiêu tán, Xua tan, Lãng phí","squander, evanesce, attenuate","accumulate, coalesce, conserve"
dissonance,noun,/ˈdɪsənəns/,/ˈdɪsənəns/,lack of harmony or consistency,"Though the president of the company often spoke of the company as reliant solely upon its workers, her decision to increase her own salary rather than reward her employees revealed a striking dissonance between her alleged beliefs and her actions.","Mâu thuẫn, Sự không nhất quán, Sự trái ngược","discord, cacophony, incongruity","harmony, accord, consonance"
dissuade,verb,/dɪˈsweɪd/,/dɪˈsweɪd/,to persuade someone not to do something,"Worried that he would catch a cold, she tried to dissuade him from going out on winter nights.","Can ngăn, Khuyên can, Ngăn cản","deter, discourage, divert","persuade, encourage, induce"
distend,verb,/dɪˈstɛnd/,/dɪˈstɛnd/,to swell out,Years of drinking beer caused his stomach to distend.,"phình to, trướng, căng phồng","inflate, bloat, expand","contract, deflate, shrink"
dither,verb,/ˈdɪðə/,/ˈdɪðər/,to be indecisive,"Not wanting to offend either friend, he dithered about which of the two birthday parties he should attend.","Lưỡng lự, Do dự, Phân vân","vacillate, waver, hesitate","resolve, decide, commit"
divine,adjective,/dɪˈvaɪn/,/dɪˈvaɪn/,"godly, exceedingly wonderful","Terribly fond of desserts, she found the rich chocolate cake to be divine.","Tuyệt vời, Ngon tuyệt, Tuyệt hảo","surmise, intuit, discern","misunderstand, misinterpret, overlook"
divisive,adjective,/dɪˈvaɪsɪv/,/dɪˈvaɪsɪv/,"causing dissent, discord",Her divisive tactics turned her two friends against each other.,"gây chia rẽ, gây bất hòa, chia rẽ","alienating, polarizing, schismatic","unifying, conciliatory, harmonizing"
divulge,verb,/dɪˈvʌldʒ/,/dɪˈvʌldʒ/,to reveal something secret,"Pressured by the press, the government finally divulged the previously unknown information.","Tiết lộ, Công bố, Phơi bày","disclose, reveal, impart","conceal, withhold, suppress"
docile,adjective,/ˈdəʊsaɪl/,/ˈdɑːsəl/,easily taught or trained,She successfully taught the docile puppy several tricks.,"Ngoan, dễ bảo, vâng lời","tractable, compliant, amenable","obstinate, defiant, rebellious"
dogmatic,adjective,/dɒɡˈmætɪk/,/dɑːɡˈmætɪk/,aggressively and arrogantly certain about unproved principles,His dogmatic claim that men were better than women at fixing appliances angered everyone.,"gia giáo, độc đoán, cố chấp","opinionated, uncompromising, rigid","open-minded, flexible, amenable"
dormant,adjective,/ˈdɔːmənt/,/ˈdɔːrmənt/,"sleeping, temporarily inactive","Though she pretended everything was fine, her anger lay dormant throughout the dinner party and exploded in screams of rage after everyone had left.","tiềm ẩn, tiềm tàng, ngủ yên","latent, inactive, quiescent","active, vigorous, operative"
dour,adjective,/ˈdaʊə/,/ˈdaʊr/,"stern, joyless",The children feared their dour neighbor because the old man would take their toys if he believed they were being too loud.,"Nghiêm nghị, khắc khổ, u ám","sullen, stern, grim","cheerful, genial, affable"
dubious,adjective,/ˈdjuːbiəs/,/ˈduːbiəs/,"doubtful, of uncertain quality","Suspicious that he was only trying to get a raise, she found his praise dubious.","Đáng ngờ, không đáng tin cậy, đáng nghi","questionable, equivocal, uncertain","certain, irrefutable, unequivocal"
duplicity,noun,/djuːˈplɪsəti/,/duːˈplɪsəti/,crafty dishonesty,"His duplicity involved convincing his employees to let him lower their salaries and increase their stock options, and then to steal the money he saved and run the company into the ground.","Sự gian trá, Sự lừa dối, Sự hai mặt","deception, perfidy, guile","honesty, probity, candor"
duress,noun,/djʊˈres/,/dʊˈres/,"hardship, threat","It was only under intense duress that he, who was normally against killing, fired his gun.","ép buộc, cưỡng bức, sức ép","coercion, compulsion, constraint","freedom, volition, autonomy"
dynamic,adjective,/daɪˈnæmɪk/,/daɪˈnæmɪk/,actively changing,The parents found it hard to keep up with the dynamic music scene with which their children had become very familiar.,"năng động, sôi động, biến chuyển","vigorous, energetic, spirited","static, inert, lethargic"
ebullient,adjective,/ɪˈbʊlɪənt/,/ɪˈbʊljənt/,"extremely lively, enthusiastic",She became ebullient upon receiving an acceptance letter from her first-choice college.,"Phấn khởi, hào hứng, sôi nổi","exuberant, vivacious, effervescent","apathetic, subdued, melancholic"
eclectic,adjective,/ɪˈklɛktɪk/,/ɪˈklɛktɪk/,consisting of a diverse variety of elements,"That bar attracts an eclectic crowd: lawyers, artists, circus clowns, and investment bankers.","Đa dạng, phong phú, tổng hợp","diverse, heterogeneous, multifarious","homogeneous, uniform, conventional"
ecstatic,adjective,/ɪkˈstætɪk/,/ɪkˈstætɪk/,intensely and overpoweringly happy,The couple was ecstatic when they learned that they had won the lottery.,"Ngất ngây, Vô cùng sung sướng, Cực kỳ hạnh phúc","elated, jubilant, euphoric","despondent, crestfallen, disconsolate"
edict,noun,/ˈiːdɪkt/,/ˈiːdɪkt/,"an order, decree",The ruler issued an edict requiring all of his subjects to bow down before him.,"Chỉ dụ, sắc lệnh, lệnh","decree, mandate, proclamation","appeal, request, plea"
