word,type,cefr,phon_br,phon_n_am,definition,example,vietnamese,synonyms,antonyms
intractable,adjective,c2,/ɪnˈtræk.tə.bəl/,/ɪnˈtræk.tə.bəl/,"Difficult to control, manage, or manipulate; hard to cure; stubborn",The intractable problem of climate change requires global cooperation and innovative solutions.,"Bất trị, Khó kiểm soát, Cứng đầu","obdurate, recalcitrant, refractory","docile, amenable, compliant"
intrepid,adjective,c2,/ɪnˈtrɛpɪd/,/ɪnˈtrɛpɪd/,"Fearless, brave, enduring in the face of adversity",The intrepid mountaineer reached the summit despite the harsh weather conditions.,"Dũng cảm, Kiên cường, Bất khuất","valiant, dauntless, gallant","pusillanimous, craven, timorous"
intrinsic,adjective,c2,/ɪnˈtrɪnsɪk/,/ɪnˈtrɪnsɪk/,Belonging to the essential nature of a thing,"Happiness is not an external reward, but an intrinsic state of being.","Nội tại, Vốn có, Cố hữu","inherent, innate, constitutive","extrinsic, superficial, contingent"
jargon,noun,c2,/ˈdʒɑːɡɒn/,/ˈdʒɑːrɡən/,Vocabulary specific to a group or occupation; convoluted or unintelligible language,The medical textbook was full of specialized jargon that only doctors could understand.,"Thuật ngữ, Biệt ngữ, Ngôn ngữ chuyên ngành","Argot, Cant, Terminology","Lucidity, Clarity, Intelligibility"
jocular,adjective,c2,/ˈdʒɒkjʊlə/,/ˈdʒɑːkjələr/,"Joking or given to joking all the time; jolly, playful","His jocular nature made him a favorite at parties, always ready with a witty remark.","hài hước, vui tính, hay đùa","facetious, waggish, mirthful","solemn, earnest, austere"
judicious,adjective,c2,/dʒuːˈdɪʃəs/,/dʒuːˈdɪʃəs/,"Using good judgment; wise, sensible",A judicious investor carefully weighs the risks and potential returns before making a decision.,"Khôn ngoan, Sáng suốt, Thận trọng","prudent, sagacious, discerning","imprudent, injudicious, indiscreet"
keen,adjective,c2,/kiːn/,/kiːn/,"Sharp, piercing; very perceptive or mentally sharp; intense (of a feeling)","With her keen eyesight, the bird watcher spotted the rare falcon perched high in the tree.","Sắc bén, Tinh tường, Mãnh liệt","astute, discerning, fervent","obtuse, apathetic, indifferent"
kudos,noun,c2,/ˈkjuːdɒs/,/ˈkuːdoʊs/,"Praise, honor, congratulations",The chef received kudos from the food critics for his innovative culinary creations.,"Khen ngợi, Biểu dương, Chúc mừng","acclaim, laudation, panegyric","censure, obloquy, denunciation"
lackluster,adjective,c2,/ˈlæklʌstə/,/ˈlæklʌstər/,"Not shiny; dull, mediocre; lacking brilliance or vitality","The team's performance was rather lackluster in the first half, but they improved significantly after halftime.","Mờ nhạt, Tầm thường, Thiếu sức sống","mediocre, uninspired, prosaic","vibrant, dazzling, exuberant"
laconic,adjective,c2,/ləˈkɒnɪk/,/ləˈkɑːnɪk/,"Using few words, concise",His laconic reply of 'No' left no room for further discussion on the matter.,"Ngắn gọn, Súc tích, Cô đọng","terse, pithy, succinct","voluble, garrulous, loquacious"
lament,verb,c2,/ləˈment/,/ləˈmɛnt/,"Mourn; express grief, sorrow, or regret (verb); an expression of grief, esp. as a song or poem (noun)",She continued to lament the missed opportunities of her youth.,"than thở, than khóc, khúc bi ca","Deplore, Bemoan, Bewail","Rejoice, Exult, Laud"
lampoon,verb,c2,/læmˈpuːn/,/læmˈpuːn/,A harsh satire (noun); ridicule or satirize (verb),The cartoonist loved to lampoon public figures with sharp wit.,"Châm biếm, Chế giễu, Đả kích","deride, pillory, censure","extol, laud, eulogize"
landmark,noun,c2,/ˈlændmɑːk/,/ˈlændmɑːrk/,"Object (such as a building) that stands out and can be used to navigate by; a very important place, event, etc.",The discovery of penicillin was a landmark achievement in medicine.,"Cột mốc, Điểm nhấn, Biểu tượng","Milestone, Beacon, Monument","Obscurity, Triviality, Nonentity"
languid,adjective,c2,/ˈlæŋɡwɪd/,/ˈlæŋɡwɪd/,"Drooping from exhaustion, sluggish, slow; lacking in spirit","The languid cat stretched lazily in the warm sun, barely stirring.","Uể oải, Lờ đờ, Thiu thiu","listless, enervated, torpid","vigorous, ebullient, vivacious"
lassitude,noun,c2,/ˈlæsɪtjuːd/,/ˈlæsɪtuːd/,"Tiredness, weariness; lazy indifference",A profound lassitude settled over him after the exhausting cross-country flight.,"Mệt mỏi, Uể oải, Lờ đờ","ennui, lethargy, torpor","vigor, alacrity, vivacity"
laudable,adjective,c2,/ˈlɔːdəbl̩/,/ˈlɔːdəbl̩/,Worthy of praise,"Despite the challenges, her laudable efforts to raise money for the homeless charity paid off immensely.","Đáng khen, đáng ca ngợi, đáng tán dương","commendable, meritorious, exemplary","reprehensible, deplorable, censurable"
lavish,adjective,c2,/ˈlævɪʃ/,/ˈlævɪʃ/,Abundant or giving in abundance; marked by excess (adj); give very generously (verb),The queen wore a lavish gown adorned with diamonds and pearls to the royal ball.,"xa hoa, hậu hĩnh, phung phí","extravagant, opulent, profuse","frugal, parsimonious, scanty"
layperson,noun,c2,/ˈleɪpɜːsən/,/ˈleɪpɜːrsən/,"A person who is not a member of the clergy or not a member of a particular profession (such as medicine, law, etc.)",The scientist explained the complex theory in terms simple enough for a layperson to grasp.,"Người bình thường, Người không chuyên, Người ngoài ngành","non-specialist, non-expert, amateur","expert, professional, specialist"
levity,noun,c2,/ˈlevɪti/,/ˈlevɪti/,"Lightness (of mind, spirit, or mood) or lack of seriousness, sometimes in an inappropriate way",The professor's attempt to inject some levity into the serious lecture with a joke was met with a few chuckles.,"Tính thiếu nghiêm túc, Sự cợt nhả, Sự bông đùa","frivolity, flippancy, jocularity","gravity, solemnity, gravitas"
levy,verb,c2,/ˈlevi/,/ˈlevi/,"Collect tax from, wage war on, or enlist for military service; (verb); act of colleting tax or amount owed, or the drafting of troops into military service (noun)",The city council decided to levy a new tax on sugary drinks to fund public health initiatives.,"Đánh thuế, Trưng binh, Gây chiến","impose, exact, conscript","exempt, waive, remit"
liberal,adjective,c2,/ˈlɪbərəl/,/ˈlɪbərəl/,"Favorable to progress or reform; believing in maximum possible individual freedom; tolerant, open-minded; generous (adj); a person with such beliefs or practices (noun)",A liberal education encourages critical thinking and a broad understanding of the world.,"Tự do, Cấp tiến, Rộng lượng","progressive, enlightened, tolerant","conservative, dogmatic, authoritarian"
libertine,noun,c2,/ˈlɪbətɪn/,/ˈlɪbərˌtin/,Morally or sexually unrestrained person; freethinker (regarding religion),The wealthy libertine spent his fortune on lavish parties and reckless pursuits.,"Trụy lạc, Phóng đãng, Kẻ trác táng","hedonist, debauchee, profligate","ascetic, prude, puritan"
likewise,adverb,c2,/ˈlaɪkwaɪz/,/ˈlaɪkwaɪz/,"Also, in addition to; similarly, in the same way","She did well on the exam; likewise, her classmates performed admirably.","Cũng vậy, Tương tự, Cũng thế","similarly, analogously, correspondingly","conversely, contrarily, disparately"
log,verb,c2,/lɒɡ/,/lɔɡ/,"Keep a record of, write down; travel for or at a certain distance or speed (verb); a written record (noun)",The captain decided to log every detail of the unusual encounter in the ship's journal.,"ghi chép, thực hiện, nhật ký","document, chronicle, register","omit, expunge, conceal"
loquacious,adjective,c2,/ləˈkweɪʃəs/,/loʊˈkweɪʃəs/,"Talkative, wordy",The loquacious host kept everyone entertained with his endless stories and witty remarks.,"Nhiều lời, Luyên thuyên, Dài dòng","garrulous, voluble, verbose","taciturn, reticent, laconic"
lucid,adjective,c2,/ˈluːsɪd/,/ˈluːsɪd/,"Clear, easy to understand; rational, sane",The speaker's lucid explanation helped the audience grasp the complex scientific concept easily.,"Rõ ràng, Minh mẫn, Tỉnh táo","coherent, pellucid, perspicuous","incoherent, obscure, abstruse"
lull,noun,c2,/lʌl/,/lʌl/,"Soothe or cause to fall asleep (as in a lullaby); quiet down; make to feel secure, sometimes falsely (verb); a period of calm or quiet (noun)","There was a brief lull in the storm, allowing residents a chance to survey the damage.","Ru ngủ, Làm dịu, Khoảng lặng","assuage, mollify, placate","exacerbate, incite, provoke"
makeshift,adjective,c2,/ˈmeɪkʃɪft/,/ˈmeɪkʃɪft/,"A temporary, often improvised, substitute (noun); improvised for temporary use (adj)","When their car broke down, they had to create a makeshift shelter out of blankets and branches.","tạm bợ, lâm thời, tự chế","provisional, expedient, stopgap","enduring, established, deliberate"
malleable,adjective,c2,/ˈmæliəbl/,/ˈmæliəbl/,"Able to be bent, shaped, or adapted","The clay was highly malleable, allowing the sculptor to shape it into intricate forms.","Dẻo, Dễ uốn nắn, Linh hoạt","pliant, adaptable, tractable","rigid, intransigent, obdurate"
maverick,noun,c2,/ˈmævərɪk/,/ˈmævərɪk/,"Rebel, individualist, dissenter","Always a maverick, she often challenged traditional methods and introduced innovative approaches.","Kẻ nổi loạn, Người phá cách, Người lập dị","nonconformist, dissident, iconoclast","conformist, adherent, orthodox"
mendacious,adjective,c2,/mɛnˈdeɪʃəs/,/mɛnˈdeɪʃəs/,"Lying, habitually dishonest","The tabloid was known for its mendacious reporting, often publishing sensational but untrue stories.","dối trá, gian dối, xảo trá","duplicitous, perfidious, deceitful","veracious, candid, upright"
mercurial,adjective,c2,/mɜːˈkjʊəriəl/,/mərˈkjʊəriəl/,"Quickly and unpredictably changing moods; fickle, flighty",Her mercurial moods made it challenging for her friends to predict how she would react to news.,"thất thường, đỏng đảnh, sáng nắng chiều mưa","capricious, volatile, erratic","steadfast, equable, resolute"
metamorphosis,noun,c2,/ˌmɛtəˈmɔːfəsɪs/,/ˌmɛtəˈmɔːrfəsɪs/,"A complete change or transformation (in biology, a change such as a caterpillar becoming a pupa and then a butterfly)","The struggling company underwent a complete metamorphosis, transforming into a leader in its industry.","Biến thái, Sự biến đổi, Sự chuyển hóa","transformation, transmutation, transfiguration","stasis, continuity, immutability"
mitigate,verb,c2,/ˈmɪtɪɡeɪt/,/ˈmɪtɪɡeɪt/,"Make less severe; lessen or moderate (damage, grief, pain, etc.)",They implemented new policies to mitigate the environmental impact of their manufacturing process.,"Làm giảm nhẹ, Giảm thiểu, Hạn chế","alleviate, ameliorate, palliate","exacerbate, aggravate, intensify"
modest,adjective,c2,/ˈmɒdɪst/,/ˈmɑːdɪst/,"Humble; simple rather than showy; decent (esp. ""covering up"" in terms of dress); small, limited","Despite her great success, she remained modest and never boasted about her achievements.","Khiêm tốn, giản dị, kín đáo","unassuming, unpretentious, understated","ostentatious, arrogant, flamboyant"
mollify,verb,c2,/ˈmɒlɪfaɪ/,/ˈmɑːlɪfaɪ/,Calm or soothe (an angry person); lessen or soften,He tried to mollify his angry friend by offering a sincere apology.,"Làm dịu, Xoa dịu, Dỗ dành","appease, assuage, placate","exacerbate, inflame, incense"
monotony,noun,c2,/məˈnɒtəni/,/məˈnɑːtəni/,"Sameness or repetitiousness to the point of being boring; lack of variation, uniformity, esp. repetition in sound",The monotony of the factory work made the days feel incredibly long and tedious.,"Sự đơn điệu, Sự tẻ nhạt, Sự nhàm chán","tedium, drudgery, repetitiveness","diversity, variety, vibrancy"
moreover,adverb,c2,/mɔːˈrəʊvə/,/ˌmɔːrˈoʊvər/,Besides; in addition to what was just stated,"The house was too small; moreover, it was in a state of disrepair.","Hơn nữa, Ngoài ra, Thêm vào đó","furthermore, additionally, besides","nevertheless, nonetheless, however"
mores,noun,c2,/ˈmɔːreɪz/,/ˈmɔːreɪz/,"Customs, manners, or morals of a particular group",Traditional societal mores often dictate what is considered acceptable behavior within a community.,"Phong tục, Đạo đức, Chuẩn mực xã hội","conventions, ethos, norms","anarchy, aberration, heterodoxy"
mundane,adjective,c2,/mʌnˈdeɪn/,/mʌnˈdeɪn/,"Common, ordinary, everyday",His daily routine was so mundane that he longed for any kind of excitement or adventure.,"Thông thường, bình thường, hàng ngày","prosaic, quotidian, banal","extraordinary, sublime, exquisite"
naïve,adjective,c2,/naɪˈiːv/,/nɑːˈiːv/,"Simple and unsophisticated, unsuspecting, lacking worldly experience and critical judgment",She was quite naïve to believe that the complex problem had such a simple solution.,"Ngây thơ, non nớt, cả tin","gullible, credulous, ingenuous","sophisticated, shrewd, cynical"
nascent,adjective,c2,/ˈnæsənt/,/ˈneɪsənt/,"Coming into existence, still developing",The nascent technology is still in its early stages but shows great potential.,"Mới hình thành, Sơ khai, Non trẻ","incipient, emergent, inchoate","mature, established, moribund"
negate,verb,c2,/nɪˈɡeɪt/,/nɪˈɡeɪt/,Deny or refute; make void or cause to be ineffective,One strong piece of evidence could completely negate the prosecution's entire argument.,"phủ nhận, bác bỏ, vô hiệu hóa","invalidate, nullify, refute","affirm, validate, corroborate"
net,adjective,c2,/nɛt/,/nɛt/,"Remaining after expenses or other factors have been deducted; ultimate (adj); to bring in as profit, or to catch as in a net (verb)","After all deductions, the company's net profit for the quarter was surprisingly high.","Thuần, Ròng, Lưới","ultimate, residual, conclusive","gross, unadjusted, comprehensive"
nevertheless or nonetheless,Adverb,c2,/ˌnevəðəˈles/,/ˌnevərðəˈles/,"However, even so, despite that","She was exhausted; nevertheless, she stayed up late to finish the report.","Tuy nhiên, Mặc dù vậy, Dù sao đi nữa","nonetheless, notwithstanding, however","consequently, therefore, accordingly"
notoriety,Noun,c2,/ˌnəʊtəˈraɪəti/,/ˌnoʊtəˈraɪəti/,Ill fame; the state of being well-known for a disgraceful reason,His notoriety stemmed from a series of controversial public statements.,"Tai tiếng, Khét tiếng, Danh tiếng xấu","infamy, disrepute, ignominy","renown, acclaim, eminence"
novel,Adjective,c2,/ˈnɒvl/,/ˈnɑːvl/,"New, fresh, original",The scientist proposed a novel method for generating clean energy.,"Mới lạ, Độc đáo, Tươi mới","innovative, unprecedented, groundbreaking","conventional, trite, banal"
nuance,Noun,c2,/ˈnjuːɑːns/,/ˈnuːɑːns/,"A subtle difference in tone, meaning, expression, etc.",The subtle nuance in her tone suggested she was not entirely happy with the decision.,"Sắc thái, Điểm khác biệt tinh tế, Khác biệt vi tế","subtlety, distinction, shade","obviousness, generality, bluntness"
objective,Adjective,c2,/əbˈdʒektɪv/,/əbˈdʒektɪv/,"Factual, related to reality or physical objects; not influenced by emotions, unbiased","A good journalist strives to present an objective account of events, free from personal bias.","Khách quan, Vô tư, Công tâm","impartial, dispassionate, empirical","subjective, partisan, prejudiced"
obsequious,adjective,c2,/əbˈsiːkwiəs/,/ɑbˈsiːkwiəs/,"Servile, very compliant, fawning","The obsequious waiter seemed to hover at our table, anticipating every need with excessive deference.","Khúm núm, Nịnh hót, Luồn cúi","servile, fawning, sycophantic","assertive, defiant, imperious"
obsolete,adjective,c2,/ˈɒbsəliːt/,/ˈɑbsəliːt/,"Out of date, no longer in use","With the rise of digital cameras, film photography became largely obsolete.","Lỗi thời, Hết thời, Cũ kỹ","archaic, antiquated, superannuated","contemporary, cutting-edge, novel"
obstinate,adjective,c2,/ˈɒbstɪnət/,/ˈɑbstɪnət/,Stubborn or hard to control,"Despite repeated attempts to convince him, the obstinate child refused to eat his vegetables.","Bướng bỉnh, Cố chấp, Khó bảo","intransigent, recalcitrant, obdurate","amenable, compliant, docile"
obviate,verb,c2,/ˈɒbvieɪt/,/ˈɑbvieɪt/,"Prevent, eliminate, or make unnecessary",Installing a new filtration system would obviate the need for buying bottled water.,"Ngăn chặn, loại bỏ, khắc phục","preclude, forestall, avert","necessitate, facilitate, promote"
occult,adjective,c2,/əˈkʌlt/,/əˈkʌlt/,"The supernatural (noun); pertaining to magic, astrology, etc.; mysterious, secret or hidden (adj); to hide, to shut off from view (verb)",Many ancient civilizations practiced various forms of occult rituals to appease their gods.,"Huyền bí, Siêu nhiên, Bí ẩn","esoteric, arcane, recondite","manifest, overt, exoteric"
offhand,adjective,c2,/ˈɒfˌhænd/,/ˈɔfˌhænd/,"Casual, informal; done without preparation or forethought; rude in a short way, brusque","Her offhand remark about the director's decision seemed to upset him, though she claimed it was unintentional.","suồng sã, tùy tiện, cộc lốc","impromptu, brusque, cavalier","premeditated, circumspect, meticulous"
officious,adjective,c2,/əˈfɪʃəs/,/əˈfɪʃəs/,"Excessively eager in giving unwanted advice or intruding where one is not wanted; meddlesome, pushy","The officious hotel manager insisted on telling us how to properly fold our laundry, even though we hadn't asked.","Hách dịch, Thọc mạch, Nhiều chuyện","meddlesome, intrusive, interfering","unobtrusive, reserved, aloof"
offset,verb,c2,/ˈɒfˌset/,/ˈɔfˌset/,"Counteract, compensate for (verb); a counterbalance (noun)",The company hoped that increased sales in Europe would offset the decline in the domestic market.,"Bù đắp, Trung hòa, Đối trọng","mitigate, neutralize, redress","exacerbate, intensify, aggravate"
onerous,adjective,c2,/ˈəʊnərəs/,/ˈoʊnərəs/,"Burdensome, oppressive, hard to endure",The task of reviewing hundreds of legal documents proved to be an onerous undertaking for the new intern.,"Nặng nề, vất vả, khắc nghiệt","arduous, exacting, taxing","undemanding, effortless, benign"
opaque,adjective,c2,/əʊˈpeɪk/,/oʊˈpeɪk/,"Not translucent; not allowing light, heat, etc. to pass through; dark, dull, unclear or stupid","The antique bottle was made of dark, opaque glass, making it impossible to see its contents.","mờ đục, không trong suốt, tối nghĩa","impenetrable, obscure, abstruse","transparent, lucid, pellucid"
optimal,adjective,c2,/ˈɒptɪməl/,/ˈɑːptɪməl/,"Best, most desirable or favorable","For optimal health, regular exercise and a balanced diet are essential.","Tối ưu, Tốt nhất, Thuận lợi nhất","Ideal, Prime, Unsurpassed","Suboptimal, Inferior, Detrimental"
optimum,noun,c2,/ˈɒptɪməm/,/ˈɑːptɪməm/,most favorable condition or greatest degree or amount possible under given circumstances,Scientists are searching for the optimum conditions to grow the new crop.,"Tối ưu, Tốt nhất, Cao nhất","optimal, zenith, pinnacle","suboptimal, nadir, adverse"
orthodox,adjective,c2,/ˈɔːθədɒks/,/ˈɔːrθədɑːks/,"Adhering to a traditional, established faith, or to anything customary or commonly accepted","He chose a more orthodox career path, pursuing law instead of art.","chính thống, truyền thống, thông thường","canonical, conformist, conventional","heterodox, iconoclastic, nonconformist"
oscillate,verb,c2,/ˈɒsɪleɪt/,/ˈɑːsɪleɪt/,"Swing back and forth; waver, change one's mind",The country's economic fortunes tend to oscillate between periods of boom and recession.,"Dao động, Lắc lư, Do dự","vacillate, fluctuate, dither","persevere, resolve, stabilize"
outstrip,verb,c2,/aʊtˈstrɪp/,/aʊtˈstrɪp/,"Surpass, exceed; be larger or better than; leave behind",The startup's rapid growth allowed it to quickly outstrip its competitors in market share.,"vượt trội, vượt qua, vượt xa","surpass, eclipse, outperform","lag, trail, underperform"
overshadow,verb,c2,/ˌəʊvəˈʃædəʊ/,/ˌoʊvərˈʃædoʊ/,"Cast a shadow over, darken; dominate, make to seem less important","His earlier successes began to overshadow his more recent, less impressive work.","che khuất, làm lu mờ, lấn át","eclipse, dwarf, outshine","highlight, enhance, accentuate"
paradigm,noun,c2,/ˈpærədaɪm/,/ˈpærədaɪm/,"Model or pattern; worldview, set of shared assumptions, values, etc.",The invention of the internet marked a complete paradigm shift in how people communicate.,"Thế giới quan, Mô thức, Mô hình","archetype, weltanschauung, framework","aberration, anomaly, divergence"
paradox,noun,c2,/ˈpærədɒks/,/ˈpærədɑːks/,"Contradiction, or seeming contradiction that is actually true",It's a paradox that standing is often more tiring than walking.,"Nghịch lý, Mâu thuẫn, Điều nghịch lý","anomaly, contradiction, enigma","consistency, coherence, axiom"
pariah,noun,c2,/pəˈraɪə/,/pəˈraɪə/,"Social outcast, untouchable","After he betrayed his colleagues, he was treated as a pariah and ostracized from the group.","Người bị ruồng bỏ, Người bị xa lánh, Người ngoài lề xã hội","anathema, leper, persona non grata","luminary, dignitary, icon"
partial,adjective,c2,/ˈpɑːʃəl/,/ˈpɑːrʃəl/,"Biased, prejudiced, favoring one over others; having a special liking for something or someone (usually partial to)",The judge was accused of being partial to the defendant due to their long-standing friendship.,"Thiên vị, ưa thích, bênh vực","biased, partisan, prejudiced","impartial, objective, disinterested"
partisan,adjective,c2,/ˈpɑːtɪzæn/,/ˈpɑːrtɪzən/,"Devoted to a particular group, cause, etc. (adj.); fervent supporter of a group, party, idea, etc.; guerilla fighter (noun)",Her partisan loyalty to her political party prevented her from seeing the merits of the opposition's arguments.,"đảng phái, tín đồ, du kích","sectarian, staunch, zealous","impartial, objective, disinterested"
patent,adjective,c2,/ˈpeɪtənt/,/ˈpætənt/,"Obvious, apparent, plain to see (adj); a letter from a government guaranteeing an inventor the rights to his or her invention (noun)","It was patent that he was lying, as his face flushed crimson and he avoided eye contact.","bằng sáng chế, rõ ràng, hiển nhiên","evident, manifest, overt","obscure, covert, latent"
pathological,adjective,c2,/ˌpæθəˈlɒdʒɪkl/,/ˌpæθəˈlɑːdʒɪkl/,Relating to or caused by disease; relating to compulsive bad behavior,"He had a pathological fear of public speaking, which severely limited his career opportunities.","Bệnh lý, bệnh hoạn, có tính chất bệnh lý","compulsive, obsessive, inveterate","rational, sound, balanced"
patronizing,adjective,c2,/ˈpeɪtrənaɪzɪŋ/,/ˈpeɪtrənaɪzɪŋ/,"Condescending, having a superior manner, treating as an inferior",The manager's patronizing attitude towards his subordinates created a hostile work environment.,"trịch thượng, hạ cố, ra vẻ bề trên","condescending, supercilious, haughty","respectful, humble, deferential"
paucity,noun,c2,/ˈpɔːsɪti/,/ˈpɔːsɪti/,"Scarcity, the state of being small in number","There was a regrettable paucity of volunteers for the charity event, making it difficult to staff all the stations.","Sự khan hiếm,Sự thiếu hụt,Sự ít ỏi","dearth, scarcity, insufficiency","abundance, plethora, profusion"
peccadillo,noun,c2,/ˌpekəˈdɪləʊ/,/ˌpekəˈdɪloʊ/,Small sin or fault,"His only peccadillo was occasionally arriving late to meetings, a habit his colleagues found endearing rather than annoying.","Lỗi nhỏ, Tội vặt, Sai sót nhỏ","indiscretion, transgression, foible","virtue, rectitude, probity"
pedestrian,adjective,c2,/pɪˈdestriən/,/pəˈdestriən/,"Ordinary, dull, commonplace","The critic dismissed the new novel as pedestrian, claiming its plot was uninspired and its characters unoriginal.","Tầm thường, Nhàm chán, Vô vị","prosaic, banal, trite","ingenious, riveting, innovative"
penchant,noun,c2,/ˈpɛntʃənt/,/ˈpɛntʃənt/,Liking or inclination (usually penchant for),"She had a penchant for collecting antique maps, spending hours browsing through old bookstores.","Sở thích, Khuynh hướng, Thiên hướng","predilection, propensity, proclivity","aversion, repugnance, antipathy"
perfidious,adjective,c2,/pəˈfɪdiəs/,/pərˈfɪdiəs/,"Disloyal, treacherous, violating one's trust","The perfidious advisor secretly plotted against the king, leading to his eventual downfall.","phản bội, bội bạc, phản trắc","treacherous, duplicitous, faithless","steadfast, trustworthy, scrupulous"
peripheral,adjective,c2,/pəˈrɪfərəl/,/pəˈrɪfərəl/,"Relating to or making up an outer boundary or region; not of primary importance, fringe",The information presented in the footnotes was interesting but ultimately peripheral to the main arguments of the essay.,"Ngoại vi, Thứ yếu, Ngoài lề","marginal, incidental, secondary","central, crucial, integral"
permeate,verb,c2,/ˈpɜːmieɪt/,/ˈpɜːrmieɪt/,Spread or penetrate throughout,The aroma of garlic and herbs began to permeate the kitchen.,"Thấm, Lan tỏa, Bao trùm","pervade, imbue, infuse","confine, exclude, extract"
pervasive,adjective,c2,/pəˈveɪsɪv/,/pərˈveɪsɪv/,Tending to spread throughout,The pervasive influence of social media has changed how people communicate.,"Phổ biến, Lan tỏa, Tràn lan","ubiquitous, rife, omnipresent","infrequent, sporadic, localized"
philanthropy,noun,c2,/fɪˈlænθrəpi/,/fɪˈlænθrəpi/,"Efforts to improve the well-being of humankind, generally through giving money",His lifelong commitment to philanthropy resulted in the establishment of several charities.,"Từ thiện, Hoạt động từ thiện, Công tác từ thiện","benevolence, altruism, humanitarianism","misanthropy, egoism, avarice"
phony,adjective,c2,/ˈfəʊni/,/ˈfoʊni/,"Fake, counterfeit; insincere, not genuine","He tried to trick them with a phony excuse, but they saw right through it.","Giả, giả tạo, giả dối","spurious, specious, disingenuous","authentic, veritable, unfeigned"
pious,adjective,c2,/ˈpaɪəs/,/ˈpaɪəs/,Devout; religiously reverent and dutiful,The pious woman devoted her life to prayer and good deeds.,"Sùng đạo, Thành kính, Ngoan đạo","devout, reverent, orthodox","irreverent, profane, blasphemous"
pith,noun,c2,/pɪθ/,/pɪθ/,"Core, essence; significance or weight",The editor asked the writer to cut the superfluous details and get to the pith of the argument.,"Cốt lõi, Bản chất, Trọng tâm","crux, quintessence, marrow","triviality, superficiality, inconsequentiality"
placate,verb,c2,/ˈpleɪkeɪt/,/ˈpleɪkeɪt/,"Satisfy or calm down (an angry or dissatisfied person), esp. by conciliatory gestures",The manager tried to placate the angry customer with a full refund and a sincere apology.,"Xoa dịu, Chiều lòng, Làm hài lòng","appease, mollify, conciliate","provoke, incense, exacerbate"
placid,adjective,c2,/ˈplæsɪd/,/ˈplæsɪd/,"Peaceful, calm, tranquil","Despite the chaos around him, he maintained a placid demeanor, never losing his temper.","Tĩnh lặng, Yên bình, Dịu êm","serene, equanimous, imperturbable","turbulent, volatile, tumultuous"
plastic,adjective,c2,/ˈplæstɪk/,/ˈplæstɪk/,Able to be shaped or formed; easily influenced,"Children's minds are often considered more plastic than adults', making them quick learners.","dẻo, dễ bị ảnh hưởng, dễ uốn nắn","malleable, pliant, impressionable","rigid, inflexible, obdurate"
plausible,adjective,c2,/ˈplɔːzəbl/,/ˈplɑːzəbl/,Believable; having the appearance of truth,"Her explanation for being late sounded perfectly plausible, so the teacher accepted it without question.","Hợp lý, Đáng tin, Có lý","credible, verisimilar, cogent","implausible, preposterous, inconceivable"
plummet,verb,c2,/ˈplʌmɪt/,/ˈplʌmɪt/,"Plunge, fall straight down",The stock market began to plummet after the announcement of the economic crisis.,"rơi thẳng xuống, lao xuống, tụt dốc","Plunge, Nosedive, Collapse","Soar, Surge, Rocket"
polarized,adjective,c2,/ˈpəʊləraɪzd/,/ˈpoʊləraɪzd/,Divided into sharply opposed groups,"The controversial topic has deeply polarized public opinion, making consensus difficult.","Cực đoan hóa, Phân hóa, Chia rẽ","fragmented, bifurcated, dichotomous","unified, cohesive, consolidated"
ponderous,adjective,c2,/ˈpɒndərəs/,/ˈpɑndərəs/,"Heavy; bulky and unwieldy; dull, labored","The speaker's ponderous lecture, full of complex jargon, quickly put the audience to sleep.","Nặng nề, cồng kềnh, chậm chạp","cumbersome, onerous, verbose","agile, concise, effervescent"
posthumous,adjective,c2,/ˈpɒstjʊməs/,/ˈpɑːstʃəməs/,Happening or continuing after death,The soldier was awarded a posthumous medal for his bravery in battle.,"Truy tặng, sau khi mất, di tác","post-mortem, belated, deferred","antemortem, pre-mortem, lifelong"
potentate,noun,c2,/ˈpəʊtənteɪt/,/ˈpoʊtənteɪt/,"Ruler, person of great power",The aging potentate ruled his small kingdom with absolute authority.,"Vua, Hoàng đế, Quốc vương","sovereign, autocrat, despot","vassal, subordinate, minion"
pragmatic,adjective,c2,/præɡˈmætɪk/,/præɡˈmætɪk/,Practical; dealing with actual facts and reality,Her pragmatic approach to the budget crisis involved making difficult but necessary cuts.,"Thực tế, Thiết thực, Thực dụng","realistic, utilitarian, level-headed","idealistic, quixotic, chimerical"
preamble,noun,c2,/ˈpriːæmbəl/,/ˈpriːæmbəl/,"Introductory statement, preface",The speaker delivered a lengthy preamble before getting to the main point of his address.,"Lời nói đầu, Mở đầu, Dẫn nhập","prologue, exordium, prolegomenon","epilogue, peroration, denouement"
precarious,adjective,c2,/prɪˈkeərɪəs/,/prɪˈkɛərɪəs/,"Unstable, insecure, dangerous","The mountaineers found themselves in a precarious situation, balancing on a narrow icy ridge.","Bấp bênh, Nguy hiểm, Mong manh","perilous, treacherous, volatile","resilient, robust, unassailable"
precursor,noun,c2,/prɪˈkɜːsə/,/prɪˈkɜːrsər/,"Something that comes before, esp. something that also announces or suggests something on its way",The early experiments with radio waves were a precursor to the development of wireless communication.,"Tiền thân, Điềm báo, Tiền đề","forerunner, harbinger, progenitor","successor, aftermath, consequence"
