word,type,cefr,phon_br,phon_n_am,definition,example,vietnamese,synonyms,antonyms
declaration,noun,c1,/ˌdekləˈreɪʃn/,/ˌdekləˈreɪʃn/,"an official or formal statement, especially about the plans of a government or an organization; the act of making such a statement",to issue/sign a declaration,"Tuyên bố, Tuyên ngôn, Bản tuyên bố","proclamation, pronouncement, manifesto","concealment, retraction, suppression"
dedicated,adjective,c1,/ˈdedɪkeɪtɪd/,/ˈdedɪkeɪtɪd/,working hard at something because it is very important to you,a dedicated teacher,"Tận tâm, Chuyên tâm, Nhiệt huyết","committed, devoted, diligent","indifferent, apathetic, lackadaisical"
dedication,noun,c1,/ˌdedɪˈkeɪʃn/,/ˌdedɪˈkeɪʃn/,the hard work and effort that somebody puts into an activity or a purpose because they think it is important,hard work and dedication,"Sự cống hiến, Sự tận tâm, Lòng tận tụy","commitment, perseverance, devotion","apathy, indifference, negligence"
deed,noun,c1,/diːd/,/diːd/,a thing that somebody does that is usually very good or very bad,It's a stirring tale of heroic deeds.,"Hành động, Việc làm, Hành vi","exploit, feat, undertaking","inaction, omission, passivity"
deem,verb,c1,/diːm/,/diːm/,to have a particular opinion about somebody/something,"deem somebody/something + noun, The evening was deemed a great success.","Coi là, Cho là, Xét thấy","regard, perceive, appraise","disregard, dismiss, discount"
default,noun,c1,/dɪˈfɔːlt/,/dɪˈfɔːlt/,"what happens or appears if you do not make any other choice or change, especially in a computer program",The default is fifty lines.,"Mặc định, Chế độ mặc định, Giá trị mặc định","standard, preset, conventional","customized, tailored, override"
defect,noun,c1,/ˈdiːfekt/,/ˈdiːfekt/,a fault in something or in the way it has been made that means that it is not perfect,a defect in the glass,"Lỗi, Khuyết điểm, Khiếm khuyết","flaw, imperfection, shortcoming","perfection, excellence, integrity"
defensive,adjective,c1,/dɪˈfensɪv/,/dɪˈfensɪv/,protecting somebody/something against attack,As a defensive measure he built a series of coastal forts and watchtowers.,"Phòng thủ, Bảo vệ, Chống đỡ","protective, vigilant, precautionary","vulnerable, exposed, susceptible"
deficiency,noun,c1,/dɪˈfɪʃnsi/,/dɪˈfɪʃnsi/,"the state of not having, or not having enough of, something that is essential","deficiency (in something), Vitamin deficiency in the diet can cause illness.","Thiếu hụt, Thiếu thốn, Sự thiếu sót","inadequacy, dearth, scarcity","abundance, sufficiency, profusion"
deficit,noun,c1,/ˈdefɪsɪt/,/ˈdefɪsɪt/,the amount by which money spent or owed is greater than money earned in a particular period of time,a budget/trade deficit,"Thâm hụt, Thiếu hụt, Bội chi","shortfall, shortage, dearth","surplus, excess, plethora"
defy,verb,c1,/dɪˈfaɪ/,/dɪˈfaɪ/,"to refuse to obey or show respect for somebody in authority, a law, a rule, etc.",I wouldn't have dared to defy my teachers.,"chống đối, thách thức, bất tuân","rebel, contravene, flout","comply, conform, acquiesce"
delegate,noun,c1,/ˈdelɪɡət/,/ˈdelɪɡət/,a person who is chosen or elected to represent the views of a group of people and vote and make decisions for them,Congress delegates rejected the proposals.,"Đại biểu, Đại diện, Phái viên","representative, emissary, envoy","constituent, principal, autocrat"
delegation,noun,c1,/ˌdelɪˈɡeɪʃn/,/ˌdelɪˈɡeɪʃn/,"a group of people who represent the views of an organization, a country, etc.",the Dutch delegation to the United Nations,"Đoàn đại biểu, Phái đoàn, Đoàn","deputation, contingent, mission","principal, sovereign, electorate"
delicate,adjective,c1,/ˈdelɪkət/,/ˈdelɪkət/,easily damaged or broken,delicate china teacups,"Dễ vỡ, Mỏng manh, Dễ hỏng","fragile, frail, flimsy","robust, resilient, durable"
demon,noun,c1,/ˈdiːmən/,/ˈdiːmən/,an evil spirit,The people believed the girl was possessed by demons.,"Ác quỷ, Ma quỷ, Quỷ dữ","fiend, devil, ghoul","angel, cherub, seraph"
denial,noun,c1,/dɪˈnaɪəl/,/dɪˈnaɪəl/,a statement that something is not true or does not exist; the action of denying something,"denial (of something), the prisoner’s repeated denials of the charges against him","Phủ nhận, Chối bỏ, Bác bỏ","refutation, contradiction, disavowal","acknowledgment, affirmation, concession"
denounce,verb,c1,/dɪˈnaʊns/,/dɪˈnaʊns/,"to strongly criticize somebody/something that you think is wrong, illegal, etc.","denounce somebody/something, She publicly denounced the government's handling of the crisis.","Lên án, Tố cáo, Công kích","condemn, censure, castigate","commend, laud, extol"
dense,adjective,c1,/dens/,/dens/,"containing a lot of people, things, plants, etc. with little space between them",a dense crowd/forest,"Dày đặc, Rậm rạp, Đông đúc","congested, packed, concentrated","sparse, dispersed, scattered"
density,noun,c1,/ˈdensəti/,/ˈdensəti/,the quality of being dense; the degree to which something is dense,The population density in this city is very high.,"Mật độ, Tỷ trọng, Độ đặc","compactness, concentration, solidity","rarity, scarcity, diffusion"
dependence,noun,c1,/dɪˈpendəns/,/dɪˈpendəns/,the state of needing the help and support of somebody/something in order to survive or be successful,Our relationship was based on mutual dependence.,"Sự phụ thuộc, Sự lệ thuộc, Sự ỷ lại","Reliance, Subordination, Vulnerability","Independence, Autonomy, Self-sufficiency"
depict,verb,c1,/dɪˈpɪkt/,/dɪˈpɪkt/,to show an image of somebody/something in a picture,"depict somebody/something (as somebody/something), a painting depicting the Virgin and Child","minh họa, thể hiện, phản ánh","portray, illustrate, delineate","obscure, distort, conceal"
deploy,verb,c1,/dɪˈplɔɪ/,/dɪˈplɔɪ/,to move soldiers or weapons into a position where they are ready for military action,2 000 troops were deployed in the area.,"Triển khai, Bố trí, Điều động","mobilize, station, post","withdraw, demobilize, recall"
deployment,noun,c1,/dɪˈplɔɪmənt/,/dɪˈplɔɪmənt/,the act of moving soldiers or weapons into a position where they are ready for military action,the deployment of peacekeeping forces,"Triển khai, Bố trí, Điều động","mobilization, stationing, positioning","withdrawal, demobilization, retreat"
deposit,verb,c1,/dɪˈpɒzɪt/,/dɪˈpɑːzɪt/,to put money into a bank account,Millions were deposited in Swiss bank accounts.,"gửi tiền, nộp tiền, nạp tiền","lodge, remit, commit","withdraw, disburse, expend"
deprive,verb,c1,/dɪˈpraɪv/,/dɪˈpraɪv/,,,"Tước đoạt, Lấy đi, Tước bỏ","divest, bereave, strip","endow, bestow, furnish"
deputy,noun,c1,/ˈdepjuti/,/ˈdepjuti/,"a person who is the next most important person below a business manager, a head of a school, a political leader, etc. and who does that person’s job when they are away",I'm acting as deputy till the manager returns.,"Phó, Cấp phó, Người đại diện","lieutenant, delegate, proxy","principal, sovereign, incumbent"
descend,verb,c1,/dɪˈsend/,/dɪˈsend/,to come or go down from a higher to a lower level,The plane began to descend.,"Đi xuống, Hạ xuống, Tụt xuống","plunge, sink, lower","ascend, elevate, soar"
descent,noun,c1,/dɪˈsent/,/dɪˈsent/,an action of coming or going down,The plane began its descent to Heathrow.,"Sự xuống, Việc xuống, Hạ xuống","decline, plunge, fall","ascent, elevation, rise"
designate,verb,c1,/ˈdezɪɡneɪt/,/ˈdezɪɡneɪt/,to say officially that somebody/something has a particular character or name; to describe somebody/something in a particular way,"be designated (as) something, This area has been designated (as) a National Park.","Chỉ định, Định danh, Gán cho","appoint, nominate, characterize","revoke, dismiss, obscure"
desirable,adjective,c1,/dɪˈzaɪərəbl/,/dɪˈzaɪərəbl/,that you would like to have or do; worth having or doing,She chatted for a few minutes about the qualities she considered desirable in a secretary.,"Mong muốn, Đáng mơ ước, Hấp dẫn","coveted, appealing, advantageous","undesirable, objectionable, reprehensible"
desktop,noun,c1,/ˈdesktɒp/,/ˈdesktɑːp/,a screen on a computer that shows the icons of programs and files that can be used,desktop icons,"Màn hình nền, Desktop, Màn nền","workspace, interface, dashboard","command line, backend, kernel"
destructive,adjective,c1,/dɪˈstrʌktɪv/,/dɪˈstrʌktɪv/,causing destruction or damage,The war demonstrated the destructive power of modern weapons.,"phá hoại, hủy diệt, tàn phá","ruinous, devastating, calamitous","constructive, beneficial, salutary"
detain,verb,c1,/dɪˈteɪn/,/dɪˈteɪn/,"to keep somebody in an official place, such as a police station, a prison or a hospital, and prevent them from leaving",One man has been detained for questioning.,"Bắt giữ, Giam giữ, Tạm giữ","Incarcerate, Confine, Apprehend","Release, Liberate, Discharge"
detection,noun,c1,/dɪˈtekʃn/,/dɪˈtekʃn/,"the process of discovering or noticing something, especially something that is not easy to see, hear, etc.; the fact of being discovered or noticed ",crime prevention and detection,"phát hiện, dò tìm, phát giác","discovery, identification, discernment","concealment, obscurity, overlooking"
detention,noun,c1,/dɪˈtenʃn/,/dɪˈtenʃn/,"the state of being kept in a place, especially a prison, and prevented from leaving",They were sentenced to 12 months' detention in a young offender institution.,"Sự giam giữ, Sự tạm giam, Sự câu lưu","incarceration, custody, confinement","liberation, emancipation, discharge"
deteriorate,verb,c1,/dɪˈtɪəriəreɪt/,/dɪˈtɪriəreɪt/,to become worse,"Her health deteriorated rapidly, and she died shortly afterwards.","Suy giảm, Xấu đi, Xuống cấp","degenerate, degrade, decline","ameliorate, enhance, flourish"
devastate,verb,c1,/ˈdevəsteɪt/,/ˈdevəsteɪt/,to completely destroy a place or an area,The bomb devastated much of the old part of the city.,"Tàn phá, Phá hủy, Hủy diệt","annihilate, raze, obliterate","restore, reconstruct, revitalize"
devil,noun,c1,/ˈdevl/,/ˈdevl/,the most powerful evil being,belief in the Devil,"Sa-tăng, Quỷ vương, Ác quỷ","Satan, Fiend, Lucifer","God, Deity, Angel"
devise,verb,c1,/dɪˈvaɪz/,/dɪˈvaɪz/,to invent something new or a new way of doing something,A new system has been devised to control traffic in the city.,"Sáng chế, Phát minh, Nghĩ ra","Contrive, Formulate, Concoct","Replicate, Imitate, Dismantle"
diagnose,verb,c1,/ˈdaɪəɡnəʊz/,/ˌdaɪəɡˈnəʊs/,to say exactly what an illness or the cause of a problem is,"diagnose something, The test is used to diagnose a variety of diseases.","Chẩn đoán, Xác định bệnh, Phát hiện bệnh","ascertain, discern, pinpoint","obscure, conceal, misinterpret"
diagnosis,noun,c1,/ˌdaɪəɡˈnəʊsɪs/,/ˌdaɪəɡˈnəʊsɪs/,the act of discovering or identifying the exact cause of an illness or a problem,a diagnosis of lung cancer,"Chẩn đoán, Sự chẩn đoán, Xác định nguyên nhân","identification, ascertainment, analysis","misconception, ambiguity, conjecture"
dictate,verb,c1,/dɪkˈteɪt/,/ˈdɪkteɪt/,"to tell somebody what to do, especially in an annoying way","dictate something (to somebody), They are in no position to dictate terms (= tell other people what to do).","Ra lệnh, Áp đặt, Bắt buộc","command, prescribe, impose","acquiesce, concede, defer"
dictator,noun,c1,/dɪkˈteɪtə(r)/,/ˈdɪkteɪtər/,"a political leader who has complete power over a country, especially one who has gained it using military force",The country suffered at the hands of a series of military dictators.,"Độc tài, Nhà độc tài, Bạo chúa","autocrat, tyrant, despot","democrat, legislator, electorate"
differentiate,verb,c1,/ˌdɪfəˈrenʃieɪt/,/ˌdɪfəˈrenʃieɪt/,to recognize or show that two things are not the same,"differentiate (between) A and B, It's difficult to differentiate between the two varieties.","Phân biệt, Biệt hóa, Khác biệt hóa","distinguish, discern, discriminate","conflate, equate, homogenize"
dignity,noun,c1,/ˈdɪɡnəti/,/ˈdɪɡnəti/,a calm and serious manner that deserves respect,She accepted the criticism with quiet dignity.,"Phẩm giá, Oai nghiêm, Đàng hoàng","gravitas, solemnity, decorum","frivolity, ignominy, impropriety"
dilemma,noun,c1,/dɪˈlemə/,/dɪˈlemə/,"a situation that makes problems, often one in which you have to make a very difficult choice between things of equal importance",I could see no way of resolving this moral dilemma.,"Tình thế tiến thoái lưỡng nan, Tình huống khó xử, Thế khó","predicament, quandary, conundrum","resolution, certainty, clarity"
dimension,noun,c1,/daɪˈmenʃn/,/daɪˈmenʃn/,"a measurement in space, for example how high, wide or long something is",We measured the dimensions of the kitchen.,"kích thước, chiều, số đo","extent, magnitude, proportion","formlessness, immateriality, boundlessness"
diminish,verb,c1,/dɪˈmɪnɪʃ/,/dɪˈmɪnɪʃ/,"to become smaller, weaker, etc.; to make something become smaller, weaker, etc.",The world's resources are rapidly diminishing.,"Giảm, Suy yếu, Giảm bớt","abate, wane, lessen","amplify, augment, escalate"
dip,verb,c1,/dɪp/,/dɪp/,to put something quickly into a liquid and take it out again,"dip something (into something), He dipped the brush into the paint.","Nhúng, Chấm, Dúng","immerse, submerge, plunge","emerge, withdraw, extract"
diplomat,noun,c1,/ˈdɪpləmæt/,/ˈdɪpləmæt/,"a person whose job is to represent his or her country in a foreign country, for example, in an embassy",Washington's top diplomat in Havana,"Nhà ngoại giao, Đại sứ, Cán bộ ngoại giao","envoy, ambassador, plenipotentiary","layperson, provocateur, warmonger"
diplomatic,adjective,c1,/ˌdɪpləˈmætɪk/,/ˌdɪpləˈmætɪk/,connected with managing relations between countries (= diplomacy),a diplomatic crisis,"Ngoại giao, Thuộc về ngoại giao, Mang tính ngoại giao","tactful, prudent, conciliatory","undiplomatic, belligerent, provocative"
directory,noun,c1,/dəˈrektəri/,/dəˈrektəri/,"a book or electronic resource containing lists of information, usually in alphabetical order, for example people’s phone numbers or the names and addresses of businesses in a particular area",a telephone/trade directory,"Danh bạ, Niên giám, Sổ bộ","catalogue, register, compendium","chaos, disarray, obscurity"
disastrous,adjective,c1,/dɪˈzɑːstrəs/,/dɪˈzæstrəs/,"very bad, harmful or unsuccessful",a disastrous harvest/fire/result,"Thảm khốc, Tai hại, Tồi tệ","catastrophic, calamitous, ruinous","propitious, auspicious, salutary"
discard,verb,c1,/dɪˈskɑːd/,/dɪˈskɑːrd/,to get rid of something that you no longer want or need,"discard somebody/something, The room was littered with discarded newspapers.","Vứt bỏ, Loại bỏ, Thải loại","jettison, eliminate, scrap","retain, preserve, acquire"
discharge,verb,c1,/dɪsˈtʃɑːdʒ/,/dɪsˈtʃɑːrdʒ/,to give somebody official permission to leave the police or the armed forces; to make somebody leave the police or the armed forces,"be discharged from something, He was discharged from the army following his injury.","Xuất ngũ, Buộc thôi việc, Giải ngũ","release, demobilize, sever","enlist, recruit, induct"
disclose,verb,c1,/dɪsˈkləʊz/,/dɪsˈkləʊz/,"to give somebody information about something, especially something that was previously secret","disclose something (to somebody), The spokesman refused to disclose details of the takeover to the press.","Tiết lộ, Công bố, Phơi bày","reveal, divulge, unveil","conceal, withhold, suppress"
disclosure,noun,c1,/dɪsˈkləʊʒə(r)/,/dɪsˈkləʊʒər/,the act of making something known or public that was previously secret or private,the newspaper’s disclosure of defence secrets,"Tiết lộ, Công bố, Phơi bày","revelation, divulgence, unveiling","concealment, obfuscation, withholding"
discourse,noun,c1,/ˈdɪskɔːs/,/ˈdɪskɔːrs/,a long and serious treatment or discussion of a subject in speech or writing,"discourse on something, a discourse on issues of gender and sexuality","Diễn ngôn, Luận văn, Bài diễn văn","Treatise, Exposition, Dissertation","Gist, Summary, Aside"
discretion,noun,c1,/dɪˈskreʃn/,/dɪˈskreʃn/,the freedom or power to decide what should be done in a particular situation,I'll leave it up to you to use your discretion.,"Sự tùy ý, Quyền quyết định, Thẩm quyền","prudence, latitude, autonomy","mandate, compulsion, duress"
discrimination,noun,c1,/dɪˌskrɪmɪˈneɪʃn/,/dɪˌskrɪmɪˈneɪʃn/,the practice of treating somebody or a particular group in society less fairly than others,"age/racial/gender/sex discrimination (= because of somebody’s age, race or sex)","Phân biệt đối xử, Kỳ thị, Thiên vị","prejudice, bias, bigotry","equality, impartiality, equity"
dismissal,noun,c1,/dɪsˈmɪsl/,/dɪsˈmɪsl/,the act of dismissing somebody from their job; an example of this,He still hopes to win his claim against unfair dismissal.,"Sa thải, Chấm dứt hợp đồng lao động, Đuổi việc","termination, redundancy, discharge","appointment, recruitment, employment"
displace,verb,c1,/dɪsˈpleɪs/,/dɪsˈpleɪs/,to take the place of somebody/something,"be displaced (by somebody/something), Gradually factory workers have been displaced by machines.","thay thế, chiếm chỗ, hất cẳng","supplant, usurp, oust","entrench, embed, consolidate"
disposal,noun,c1,/dɪˈspəʊzl/,/dɪˈspəʊzl/,the act of getting rid of something,The council is responsible for waste disposal and street cleaning.,"Vứt bỏ, Xử lý, Loại bỏ","elimination, eradication, jettisoning","acquisition, retention, preservation"
dispose,verb,c1,/dɪˈspəʊz/,/dɪˈspəʊz/,to arrange things or people in a particular way or position,The visitors disposed themselves in a circle round the statue.,"sắp xếp, bố trí, sắp đặt","orchestrate, marshal, deploy","disperse, jumble, muddle"
dispute,noun,c1,/dɪˈspjuːt/,/dɪˈspjuːt/,"an argument between two people, groups or countries; discussion about a subject on which people disagree",industrial/pay disputes,"Tranh chấp, Tranh luận, Mâu thuẫn","contention, altercation, strife","accord, concord, consensus"
dispute,verb,c1,/dɪˈspjuːt/,/dɪˈspjuːt/,to question whether something is true or legally or officially acceptable,"dispute something, These figures have been disputed.","Tranh cãi, Phản đối, Bác bỏ","challenge, contest, refute","concur, corroborate, validate"
disrupt,verb,c1,/dɪsˈrʌpt/,/dɪsˈrʌpt/,to make it difficult for something to continue in the normal way,Demonstrators succeeded in disrupting the meeting.,"làm gián đoạn, gây rối, cản trở","impede, obstruct, derail","facilitate, promote, expedite"
disruption,noun,c1,/dɪsˈrʌpʃn/,/dɪsˈrʌpʃn/,a situation in which it is difficult for something to continue in the normal way; the act of stopping something from continuing in the normal way,We aim to help you move house with minimum disruption to yourself.,"Sự gián đoạn, Sự xáo trộn, Sự phá vỡ","upheaval, turbulence, convulsion","continuity, stability, order"
dissolve,verb,c1,/dɪˈzɒlv/,/dɪˈzɑːlv/,to mix with a liquid and become part of it,Salt dissolves in water.,"Hòa tan, Tan, Hòa vào","integrate, diffuse, incorporate","solidify, precipitate, coalesce"
distinction,noun,c1,/dɪˈstɪŋkʃn/,/dɪˈstɪŋkʃn/,a clear difference or contrast especially between people or things that are similar or related,distinctions between traditional and modern societies,"sự khác biệt, sự phân biệt, điểm khác biệt","differentiation, nuance, discernment","homogeneity, uniformity, indistinguishability"
distinctive,adjective,c1,/dɪˈstɪŋktɪv/,/dɪˈstɪŋktɪv/,having a quality or characteristic that makes something different and easily noticed,clothes with a distinctive style,"đặc trưng, khác biệt, nổi bật","characteristic, idiosyncratic, conspicuous","nondescript, homogeneous, generic"
distort,verb,c1,/dɪˈstɔːt/,/dɪˈstɔːrt/,"to change the shape, appearance or sound of something so that it is strange or not clear",a fairground mirror that distorts your shape,"bóp méo, méo mó, biến dạng","contort, garble, misrepresent","clarify, preserve, restore"
distress,noun,c1,/dɪˈstres/,/dɪˈstres/,a feeling of great worry or unhappiness; great mental pain,The newspaper article caused the actor considerable distress.,"Nỗi đau khổ, Sự thống khổ, Sự khốn khổ","anguish, tribulation, torment","serenity, tranquility, contentment"
distress,verb,c1,/dɪˈstres/,/dɪˈstres/,to make somebody feel very worried or unhappy,"distress somebody, It was clear that the letter had deeply distressed her.","Gây đau khổ, Làm lo lắng, Làm phiền","agitate, torment, afflict","assuage, alleviate, console"
disturbing,adjective,c1,/dɪˈstɜːbɪŋ/,/dɪˈstɜːrbɪŋ/,making you feel anxious and upset or shocked,a disturbing piece of news,"Đáng lo ngại, gây sốc, gây hoang mang","disquieting, unsettling, disconcerting","reassuring, comforting, soothing"
divert,verb,c1,/daɪˈvɜːt/,/daɪˈvɜːrt/,to make somebody/something change direction,"be diverted, The course of the stream has now been diverted.","Chuyển hướng, Đổi hướng, Làm chệch hướng","reroute, deflect, sidetrack","maintain, align, concentrate"
divine,adjective,c1,/dɪˈvaɪn/,/dɪˈvaɪn/,coming from or connected with God or a god,divine law/love/will,"Thiêng liêng, Thần thánh, Linh thiêng","celestial, sacred, hallowed","profane, secular, mundane"
doctrine,noun,c1,/ˈdɒktrɪn/,/ˈdɑːktrɪn/,"a belief or set of beliefs held and taught by a Church, a political party, etc.",the doctrine of parliamentary sovereignty,"Học thuyết, Giáo lý, Chủ thuyết","creed, tenet, dogma","skepticism, open-mindedness, empiricism"
documentation,noun,c1,/ˌdɒkjumenˈteɪʃn/,/ˌdɑːkjumenˈteɪʃn/,"the documents that are required for something, or that give evidence or proof of something",I couldn't enter the country because I didn't have all the necessary documentation.,"Hồ sơ, Tài liệu, Giấy tờ","records, archives, registry","conjecture, hearsay, ambiguity"
domain,noun,c1,/dəˈmeɪn/,/dəʊˈmeɪn/,an area of knowledge or activity; especially one that somebody is responsible for,Financial matters are her domain.,"Lĩnh vực, Phạm vi, Mảng","realm, sphere, province","chaos, anarchy, disorder"
dominance,noun,c1,/ˈdɒmɪnəns/,/ˈdɑːmɪnəns/,"the fact of being more important, powerful or easy to notice than somebody/something else",political/economic dominance,"Thống trị, Ưu thế, Vị trí chủ đạo","supremacy, ascendancy, hegemony","subservience, subordination, subjugation"
donor,noun,c1,/ˈdəʊnə(r)/,/ˈdəʊnər/,"a person or an organization that makes a gift of money, clothes, food, etc. to a charity, etc.","international aid donors (= countries that give money, etc. to help other countries)","Người hiến tặng, Người đóng góp, Mạnh thường quân","benefactor, patron, philanthropist","recipient, beneficiary, mendicant"
dose,noun,c1,/dəʊs/,/dəʊs/,"an amount of a medicine or a drug that is taken once, or regularly over a period of time",a high/low/lethal dose,"Liều, Liều lượng, Liều dùng","regimen, course, protocol","deprivation, deficiency, omission"
drain,verb,c1,/dreɪn/,/dreɪn/,to make something empty or dry by removing the liquid from it; to become empty or dry in this way,Drain and rinse the pasta.,"Tháo nước, Rút cạn, Làm ráo","deplete, exhaust, evacuate","replenish, saturate, inundate"
drift,verb,c1,/drɪft/,/drɪft/,to move along smoothly and slowly in water or air,Clouds drifted across the sky.,"Trôi, Lênh đênh, Phiêu dạt","glide, meander, waft","propel, surge, anchor"
driving,adjective,c1,/ˈdraɪvɪŋ/,/ˈdraɪvɪŋ/,strong and powerful; having a strong influence in making something happen,Who was the driving force (= the person with the strongest influence) in the band?,"Then chốt, Chủ lực, Quyết định","compelling, potent, forceful","ineffectual, inconsequential, peripheral"
drown,verb,c1,/draʊn/,/draʊn/,to die because you have been underwater too long and you cannot breathe; to kill somebody by holding them underwater,Two children drowned after falling into the river.,"Chết đuối, Dìm chết, Nhấn chìm","asphyxiate, suffocate, submerge","resuscitate, float, emerge"
dual,adjective,c1,/ˈdjuːəl/,/ˈduːəl/,having two parts or aspects,his dual role as composer and conductor,"kép, hai mặt, lưỡng","twofold, bipartite, dichotomous","singular, unified, monolithic"
dub,verb,c1,/dʌb/,/dʌb/,"to give somebody/something a particular name, often in a humorous or critical way",The media dubbed anorexia ‘the slimming disease’.,"mệnh danh, gán cho cái tên, phong cho","designate, christen, label","anonymize, conceal, disavow"
dumb,adjective,c1,/dʌm/,/dʌm/,stupid,That was a pretty dumb thing to do.,"Ngu, Đần, Khờ","obtuse, idiotic, dense","astute, sagacious, perceptive"
duo,noun,c1,/ˈdjuːəʊ/,/ˈduːəʊ/,two people who perform together or are often seen or thought of together,the comedy duo Laurel and Hardy,"Bộ đôi, Cặp đôi, Đôi","tandem, partnership, double act","soloist, solitary, ensemble"
dynamic,noun,c1,/daɪˈnæmɪk/,/daɪˈnæmɪk/,the way in which people or things behave and react to each other in a particular situation,the dynamics of political change,"Động lực, Tương tác, Diễn biến","interplay, interaction, flux","stagnation, inertia, rigidity"
eager,adjective,c1,/ˈiːɡə(r)/,/ˈiːɡər/,very interested and excited by something that is going to happen or about something that you want to do; showing this,eager crowds outside the stadium,"Háo hức, Nhiệt tình, Mong mỏi","keen, ardent, zealous","reluctant, apathetic, indifferent"
earnings,noun,c1,/ˈɜːnɪŋz/,/ˈɜːrnɪŋz/,the money that you earn for the work that you do,a rise in average earnings,"Thu nhập, Tiền lương, Tiền công","income, remuneration, emoluments","expenditure, outlay, loss"
ease,noun,c1,/iːz/,/iːz/,lack of difficulty,"with ease, He passed the exam with ease.","Dễ dàng, Thuận lợi, Nhẹ nhàng","facility, effortlessness, simplicity","arduousness, strenuousness, complexity"
ease,verb,c1,/iːz/,/iːz/,"to become less unpleasant, painful or severe; to make something less unpleasant, etc.",The pain immediately eased.,"Làm dịu, Giảm bớt, Xoa dịu","Alleviate, Mitigate, Ameliorate","Exacerbate, Aggravate, Intensify"
echo,noun,c1,/ˈekəʊ/,/ˈekəʊ/,the reflecting of sound off a wall or inside a particular space so that a noise appears to be repeated; a sound that is reflected back in this way,There was an echo on the phone and I couldn't hear clearly.,"Tiếng vang, Vọng âm, Hồi âm","reverberation, resonance, repercussion","absorption, attenuation, muffling"
echo,verb,c1,/ˈekəʊ/,/ˈekəʊ/,"if a sound echoes, it is reflected off a wall, the side of a mountain, etc. so that you can hear it again",Her footsteps echoed in the empty room.,"Vọng lại, Dội lại, Vang vọng","reverberate, resound, resonate","absorb, muffle, dampen"
ecological,adjective,c1,/ˌiːkəˈlɒdʒɪkl/,/ˌiːkəˈlɑːdʒɪkl/,connected with the relation of plants and living creatures to each other and to their environment,We risk upsetting the ecological balance of the area.,"sinh thái, thuộc về sinh thái, mang tính sinh thái","environmental, ecosystemic, bio-centric","anthropocentric, artificial, industrial"
educator,noun,c1,/ˈedʒukeɪtə(r)/,/ˈedʒukeɪtər/,a person whose job is to teach or educate people,adult educators (= who teach adults),"Nhà giáo, Giáo viên, Người làm giáo dục","instructor, pedagogue, mentor","protégé, disciple, ignoramus"
effectiveness,noun,c1,/ɪˈfektɪvnəs/,/ɪˈfektɪvnəs/,the fact of producing the result that is wanted or intended; the fact of producing a successful result,to check the effectiveness of the security system,"Hiệu quả, Tính hiệu quả, Công hiệu","efficacy, potency, fruitfulness","futility, inefficacy, fruitlessness"
efficiency,noun,c1,/ɪˈfɪʃnsi/,/ɪˈfɪʃnsi/,the quality of doing something well with no waste of time or money,improvements in efficiency at the factory,"Hiệu suất, Hiệu quả, Năng suất","productivity, efficacy, optimization","inefficiency, wastefulness, profligacy"
ego,noun,c1,/ˈiːɡəʊ/,/ˈiːɡəʊ/,your sense of your own value and importance,He has the biggest ego of anyone I've ever met.,"Bản ngã, Cái tôi, Tự trọng","conceit, arrogance, hubris","humility, modesty, self-effacement"
elaborate,adjective,c1,/ɪˈlæbərət/,/ɪˈlæbərət/,very complicated and detailed; carefully prepared and organized,elaborate designs,"Công phu, tỉ mỉ, cầu kỳ","intricate, meticulous, ornate","rudimentary, perfunctory, cursory"
electoral,adjective,c1,/ɪˈlektərəl/,/ɪˈlektərəl/,connected with elections,electoral systems/reforms,"bầu cử, tuyển cử, tranh cử","elective, plebiscitary, suffrage-related","appointed, hereditary, autocratic"
elevate,verb,c1,/ˈelɪveɪt/,/ˈelɪveɪt/,"to give somebody/something a higher position or rank, often more important than they deserve ","elevate somebody/something (to something), He elevated many of his friends to powerful positions within the government.","Thăng chức, Nâng cao địa vị, Đề bạt","promote, exalt, aggrandize","demote, degrade, debase"
eligible,adjective,c1,/ˈelɪdʒəbl/,/ˈelɪdʒəbl/,"a person who is eligible for something or to do something, is able to have or do it because they have the right qualifications, are the right age, etc.","eligible (for something), Only those over 70 are eligible for the special payment.","Đủ điều kiện, Đủ tiêu chuẩn, Có đủ tư cách","qualified, entitled, authorized","disqualified, ineligible, barred"
elite,noun,c1,/eɪˈliːt/,/eɪˈliːt/,"a small group of people in a society, etc. who are powerful and have a lot of influence, because they are rich, intelligent, etc.",a member of the ruling/intellectual elite,"Tầng lớp tinh hoa, Giới thượng lưu, Thành phần ưu tú","aristocracy, establishment, oligarchy","plebeians, proletariat, populace"
embarrassment,noun,c1,/ɪmˈbærəsmənt/,/ɪmˈbærəsmənt/,"shy, uncomfortable or guilty feelings; a feeling of being embarrassed",I nearly died of embarrassment when he said that.,"xấu hổ, ngượng ngùng, mắc cỡ","humiliation, mortification, discomfiture","composure, aplomb, equanimity"
embassy,noun,c1,/ˈembəsi/,/ˈembəsi/,a group of officials led by an ambassador who represent their government in a foreign country,embassy officials,"Đại sứ quán, Sứ quán, Phái đoàn ngoại giao","legation, diplomatic mission, consulate","isolationism, autarky, insularity"
